GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMesurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2014080300,2014-08-03,1,9,37,NYG,BUF,2,5,43,,0,,0,"(9:37) (NO HUDDLE) 10-E.MANNING SACKED AT NYG 31 FOR -12 YARDS (95-K.WILLIAMS). FUMBLES (95-K.WILLIAMS), RECOVERED BY BUF-56-K.RIVERS AT NYG 22. PENALTY ON NYG-67-J.PUGH, OFFENSIVE HOLDING, DECLINED.",0,,,2014,-12,"NO HUDDLE",SACK,0,0,0,0,,1,0,0,,0,0,1,1,0,0,,43,OWN,0,NYG,0,"OFFENSIVE HOLDING",0
2014080300,2014-08-03,1,9,26,BUF,NYG,1,10,78,,0,,0,"(9:26) 3-E.MANUEL PASS INCOMPLETE DEEP LEFT TO 19-MI.WILLIAMS.",0,,,2014,0,"UNDER CENTER",PASS,0,1,1,0,"DEEP LEFT",0,0,0,,0,0,0,0,0,0,,22,OPP,0,,0,,0
2014080300,2014-08-03,1,9,21,BUF,NYG,2,10,78,,1,,0,"(9:21) 3-E.MANUEL PASS SHORT LEFT TO 19-MI.WILLIAMS TO NYG 11 FOR 11 YARDS (53-J.MCCLAIN; 57-J.WILLIAMS).",0,,,2014,11,"UNDER CENTER",PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,22,OPP,0,,0,,0
2014080300,2014-08-03,1,8,39,BUF,NYG,1,10,89,,0,,0,"(8:39) 22-F.JACKSON RIGHT GUARD TO NYG 12 FOR -1 YARDS (53-J.MCCLAIN).",0,,,2014,-1,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT GUARD",11,OPP,0,,0,,0
2014080300,2014-08-03,1,8,2,BUF,NYG,2,11,88,,0,,0,"(8:02) 3-E.MANUEL PASS INCOMPLETE (90-J.PIERRE-PAUL).",0,,,2014,0,"UNDER CENTER",PASS,0,1,1,0,"NOT LISTED",0,0,0,,0,0,0,0,0,0,,12,OPP,0,,0,,0
2014080300,2014-08-03,1,7,59,BUF,NYG,3,11,88,,0,,0,"(7:59) 3-E.MANUEL PASS INCOMPLETE SHORT RIGHT TO 14-S.WATKINS (57-J.WILLIAMS).",0,,,2014,0,"UNDER CENTER",PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,12,OPP,0,,0,,0
2014080300,2014-08-03,1,7,59,BUF,NYG,4,11,88,,0,,0,"(7:59) (FIELD GOAL FORMATION) 2-D.CARPENTER 30 YARD FIELD GOAL IS GOOD, CENTER-65-G.SANBORN, HOLDER-8-B.MOORMAN.",0,,,2014,0,"FIELD GOAL","FIELD GOAL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,12,OPP,0,,0,,0
2014080300,2014-08-03,1,7,53,BUF,NYG,0,0,35,,1,,0,"5-D.HOPKINS KICKS 65 YARDS FROM BUF 35 TO END ZONE, TOUCHBACK.",0,,,2014,0,"UNDER CENTER","KICK OFF",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
2014080300,2014-08-03,1,7,53,NYG,BUF,1,10,20,,0,,0,"(7:53) 23-R.JENNINGS RIGHT TACKLE TO NYG 21 FOR 1 YARD (96-S.CHARLES).",0,,,2014,1,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT TACKLE",20,OWN,0,,0,,0
2014080300,2014-08-03,1,7,15,NYG,BUF,2,9,21,,0,,0,"(7:15) 23-R.JENNINGS RIGHT GUARD TO NYG 25 FOR 4 YARDS (25-D.SEARCY).",0,,,2014,4,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT GUARD",21,OWN,0,,0,,0
2014080300,2014-08-03,1,6,36,NYG,BUF,3,5,25,,1,,0,"(6:36) (SHOTGUN) 10-E.MANNING PASS SHORT MIDDLE TO 12-J.JERNIGAN TO NYG 33 FOR 8 YARDS (30-M.BUTLER).",0,,,2014,8,SHOTGUN,PASS,0,1,0,0,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,25,OWN,0,,0,,0
2014080300,2014-08-03,1,6,2,NYG,BUF,1,10,33,,0,,0,"(6:02) 44-A.WILLIAMS LEFT GUARD TO NYG 39 FOR 6 YARDS (53-N.BRADHAM).",0,,,2014,6,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT GUARD",33,OWN,0,,0,,0
2014080300,2014-08-03,1,5,26,NYG,BUF,2,4,39,,1,,0,"(5:26) 44-A.WILLIAMS LEFT GUARD TO NYG 44 FOR 5 YARDS (53-N.BRADHAM).",0,,,2014,5,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT GUARD",39,OWN,0,,0,,0
2014080300,2014-08-03,1,4,53,NYG,BUF,1,10,44,,0,,0,"(4:53) 44-A.WILLIAMS RIGHT GUARD TO NYG 46 FOR 2 YARDS (93-R.JOHNSON).",0,,,2014,2,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT GUARD",44,OWN,0,,0,,0
2014080300,2014-08-03,1,4,10,NYG,BUF,2,8,46,,1,,0,"(4:10) 23-R.JENNINGS LEFT TACKLE TO BUF 46 FOR 8 YARDS (52-P.BROWN).",0,,,2014,8,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT TACKLE",46,OWN,0,,0,,0
2014080300,2014-08-03,1,3,25,NYG,BUF,1,10,54,,0,,0,"(3:25) 23-R.JENNINGS RIGHT TACKLE TO BUF 46 FOR NO GAIN (96-S.CHARLES).",0,,,2014,0,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT TACKLE",46,OPP,0,,0,,0
2014080300,2014-08-03,1,2,47,NYG,BUF,2,10,54,,1,,0,"(2:47) 23-R.JENNINGS LEFT TACKLE TO BUF 34 FOR 12 YARDS (25-D.SEARCY; 23-A.WILLIAMS).",0,,,2014,12,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT TACKLE",46,OPP,0,,0,,0
2014080300,2014-08-03,1,2,6,NYG,BUF,1,10,66,,1,,0,"(2:06) 10-E.MANNING PASS SHORT LEFT TO 85-D.FELLS TO BUF 24 FOR 10 YARDS (33-R.BROOKS).",0,,,2014,10,"UNDER CENTER",PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,34,OPP,0,,0,,0
2014080300,2014-08-03,1,1,28,NYG,BUF,1,10,76,,1,,0,"(1:28) 44-A.WILLIAMS LEFT END TO BUF 3 FOR 21 YARDS (93-R.JOHNSON).",0,,,2014,21,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT END",24,OPP,0,,0,,0
2014080300,2014-08-03,1,0,53,,NYG,0,0,0,,1,,0,"TIMEOUT #1 BY BUF AT 00:53.",0,,,2014,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
